second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,target
457.0,29,7,2,0.6666667,0.6666667,0.84945905,0.84945905,0.253997802734375,125,0.54112554,0.54112554,0,0,0,28,sinkhole
253.0,25,40,5,0.19463088,0.033557046,0.012452682,0.0019146728,0.0019989013671875,390,0.24521276,0.034574468,0,0,5,0,version_num
321.0,26,44,14,0.15555556,0.5777778,0.107017756,0.33076054,0.110015869140625,1386,0.17085798,0.63461536,14,0,0,0,version_num
863.0,48,31,5,1.0,1.0,1.0,1.0,0.0009765625,340,1.0,1.0,0,0,0,32,legitimate
172.0,30,23,5,0.029940119,0.029940119,0.0011020125,0.0011020125,0.0009918212890625,390,0.026099177,0.026099177,0,0,5,0,version_num
153.0,31,22,21,0.17073171,0.18699187,0.08078482,0.08183882,0.076019287109375,1638,0.14918032,0.16338798,0,0,21,0,version_num
515.0,18,5,6,0.375,0.6875,0.5332429,0.7788331,0.02398681640625,428,0.31703705,0.6074074,0,0,0,98,legitimate
249.0,26,44,28,0.24166666,0.96666664,0.3371322,0.9927347,0.3239898681640625,2772,0.24160732,0.9735504,28,0,0,0,version_num
337.0,36,44,26,0.29885057,0.77011496,0.45538583,0.8284612,0.454010009765625,2574,0.31207564,0.8041949,26,0,0,29,version_num
510.0,34,42,4,0.04597701,0.04597701,0.19809985,0.19809985,0.251983642578125,272,0.04597701,0.04597701,0,0,0,4,dis_flood
110.0,40,44,2,0.018181818,0.56363636,0.14376502,0.6332,0.1360015869140625,198,0.025056947,0.5261959,2,0,0,0,version_num
349.0,7,4,66,1.0,1.0,1.0,1.0,0.92498779296875,5874,1.0,1.0,0,0,0,120,dis_flood
306.0,22,44,32,0.23188406,0.5869565,0.47006,0.6312553,0.384979248046875,3168,0.25325766,0.64105844,32,0,0,0,version_num
762.0,18,5,5,0.5,0.6,0.45530728,0.54469275,0.00994873046875,392,0.4600939,0.5023474,0,0,0,147,legitimate
470.0,2,0,1,0.125,0.125,0.011490125,0.011490125,0.0009765625,106,0.19272727,0.19272727,0,0,0,31,dis_flood
449.0,21,7,1,0.16666667,0.8333333,0.09976634,0.30857468,0.042999267578125,89,0.1615245,0.8076225,0,0,0,7,sinkhole
737.0,22,5,1,1.0,1.0,1.0,1.0,0.0009765625,89,1.0,1.0,0,0,0,26,legitimate
309.0,33,43,15,0.23584905,0.14150943,0.17722228,0.08356687,0.09100341796875,1170,0.2579365,0.15476191,0,0,15,0,version_num
502.0,25,5,1,0.11111111,0.11111111,0.07361268,0.07361268,0.001983642578125,89,0.14060031,0.14060031,0,0,0,16,legitimate
3289.0,37,66,5,0.33333334,0.33333334,0.21675432,0.21675432,0.140869140625,340,0.3063063,0.3063063,0,0,0,16,sinkhole
