"No.","Time","Source","Destination","Protocol","Length","Info"
"5747","179.867000","2002:db8::212:740e:e:e0e","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5748","179.869000","","","IEEE 802.15.4","7","Ack"
"5749","179.913000","00:12:74:09:00:09:09:09","00:12:74:15:00:15:15:15","6LoWPAN","106","Data, Dst: NitLab_15:00:15:15:15, Src: NitLab_09:00:09:09:09"
"5750","179.917000","00:12:74:09:00:09:09:09","00:12:74:15:00:15:15:15","6LoWPAN","106","Data, Dst: NitLab_15:00:15:15:15, Src: NitLab_09:00:09:09:09"
"5751","179.920000","00:12:74:09:00:09:09:09","00:12:74:15:00:15:15:15","6LoWPAN","106","Data, Dst: NitLab_15:00:15:15:15, Src: NitLab_09:00:09:09:09"
"5752","179.922000","","","IEEE 802.15.4","7","Ack"
"5753","179.932000","2002:db8::212:740e:e:e0e","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5754","179.934000","","","IEEE 802.15.4","7","Ack"
"5755","179.981000","00:12:74:15:00:15:15:15","00:12:74:01:00:01:01:01","6LoWPAN","106","Data, Dst: NitLab_01:00:01:01:01, Src: NitLab_15:00:15:15:15"
"5756","179.983000","","","IEEE 802.15.4","7","Ack"
"5757","179.990000","2002:db8::212:740e:e:e0e","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5758","179.991000","","","IEEE 802.15.4","7","Ack"
"5759","181.077000","2002:db8::212:7410:10:1010","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5760","181.080000","2002:db8::212:7410:10:1010","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5761","181.085000","2002:db8::212:7410:10:1010","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5762","181.086000","","","IEEE 802.15.4","7","Ack"
"5763","181.204000","00:12:74:03:00:03:03:03","00:12:74:01:00:01:01:01","6LoWPAN","106","Data, Dst: NitLab_01:00:01:01:01, Src: NitLab_03:00:03:03:03"
"5764","181.206000","","","IEEE 802.15.4","7","Ack"
