second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg
92.0,62,67,7,0.0945946,1.0,0.12894207,1.0,0.13899993896484375,693,0.0945946,1.0,7,0,0,0
92.0,60,67,15,0.2027027,1.0,0.05565621,1.0,0.05999755859375,1485,0.2027027,1.0,15,0,0,0
92.0,51,67,25,0.33783785,1.0,0.33117002,1.0,0.35700225830078125,2475,0.33783785,1.0,25,0,0,0
93.0,46,67,18,0.5,1.0,0.24427503,1.0,0.31999969482421875,1782,0.5,1.0,18,0,0,0
93.0,60,67,14,0.3888889,1.0,0.754962,1.0,0.9889984130859375,1386,0.3888889,1.0,14,0,0,0
93.0,51,67,4,0.11111111,1.0,0.00076294085,1.0,0.00099945068359375,396,0.11111111,1.0,4,0,0,0
94.0,46,67,11,0.32352942,1.0,0.41407254,1.0,0.25299835205078125,1089,0.32352942,1.0,11,0,0,0
94.0,50,67,23,0.6764706,1.0,0.5859274,1.0,0.358001708984375,2277,0.6764706,1.0,23,0,0,0
95.0,50,67,6,0.31578946,1.0,0.73527867,1.0,1.0360107421875,594,0.31578946,1.0,6,0,0,0
95.0,49,67,13,0.68421054,1.0,0.26472133,1.0,0.37299346923828125,1287,0.68421054,1.0,13,0,0,0
96.0,49,67,16,0.8,0.8,0.8123715,0.8123715,0.4069976806640625,1584,0.835443,0.835443,16,0,0,0
96.0,39,46,4,0.2,0.2,0.1876285,0.1876285,0.09400177001953125,312,0.16455697,0.16455697,0,0,4,0
97.0,46,37,1,1.0,1.0,1.0,1.0,0.0500030517578125,78,1.0,1.0,0,0,1,0
99.0,63,67,23,1.0,1.0,1.0,1.0,0.33599853515625,2277,1.0,1.0,23,0,0,0
100.0,63,67,6,0.20689656,0.86206895,0.44023636,0.90962607,0.4530029296875,594,0.2131324,0.8880517,6,0,0,0
100.0,42,67,19,0.6551724,0.86206895,0.46938974,0.90962607,0.483001708984375,1881,0.67491925,0.8880517,19,0,0,0
100.0,57,43,4,0.13793103,0.13793103,0.09037391,0.09037391,0.09299468994140625,312,0.11194833,0.11194833,0,0,4,0
