second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg
68.0,33,40,58,0.43283582,0.43283582,0.10353054,0.10353054,0.09700775146484375,4524,0.47302383,0.47302383,0,0,58,0
68.0,26,22,2,0.014925373,0.014925373,0.0,0.0,0.0,156,0.016311167,0.016311167,0,0,2,0
69.0,28,44,56,0.6363636,0.6363636,0.8798097,0.8798097,0.8930130004882812,3696,0.5968992,0.5968992,0,56,0,515
69.0,31,24,12,0.13636364,0.13636364,0.0009846736,0.0009846736,0.00099945068359375,936,0.15116279,0.15116279,0,0,12,0
69.0,33,40,20,0.22727273,0.22727273,0.119205646,0.119205646,0.12099456787109375,1560,0.251938,0.251938,0,0,20,0
70.0,28,44,80,0.5063291,0.6075949,0.55456865,0.6292948,0.563995361328125,5280,0.45128205,0.58666664,0,80,0,595
70.0,37,40,6,0.03797468,0.20253165,0.05408102,0.13373594,0.05500030517578125,468,0.04,0.21333334,0,0,6,0
70.0,31,24,26,0.2278481,0.16455697,0.16420105,0.10422356,0.10599517822265625,2028,0.25794873,0.17333333,0,0,26,0
70.0,33,40,26,0.16455697,0.20253165,0.07965492,0.13373594,0.0810089111328125,2028,0.17333333,0.21333334,0,0,26,0
70.0,31,44,10,0.2278481,0.6075949,0.16420105,0.6292948,0.06099700927734375,990,0.25794873,0.58666664,10,0,0,0
70.0,25,44,6,0.03797468,0.6075949,0.014748687,0.6292948,0.0149993896484375,594,0.050769232,0.58666664,6,0,0,0
70.0,39,41,4,0.025316456,0.025316456,0.13274568,0.13274568,0.13500213623046875,312,0.026666667,0.026666667,0,0,4,0
71.0,31,24,38,0.31666666,0.21111111,0.47012827,0.23107845,0.23200225830078125,2964,0.3448644,0.21097587,0,0,38,0
71.0,28,44,85,0.4722222,0.74444443,0.26792607,0.612549,0.2689971923828125,5610,0.39931667,0.74460816,0,85,0,680
71.0,39,41,6,0.033333335,0.033333335,0.15537706,0.15537706,0.15599822998046875,468,0.033311978,0.033311978,0,0,6,0
71.0,42,22,2,0.011111111,0.011111111,0.000995471,0.000995471,0.00099945068359375,156,0.011103993,0.011103993,0,0,2,0
71.0,25,44,23,0.12777779,0.74444443,0.049796347,0.612549,0.04999542236328125,2277,0.1620756,0.74460816,23,0,0,0
